"id","impact","tags","description","help","helpUrl","nodes"
"aria-hidden-focus","serious","[""cat.name-role-value"",""wcag2a"",""wcag412"",""wcag131""]","Ensures aria-hidden elements do not contain focusable elements","ARIA hidden element must not contain focusable elements","https://dequeuniversity.com/rules/axe/4.3/aria-hidden-focus?application=axeAPI","[{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/personal-health-hygiene/teaching-children-about-hygiene-can-be-fun/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\30 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""0\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\30 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/how-to-clean-your-kitchen-counters-and-bins-effectively/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\31 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""1\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\31 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/how-to-clean-your-washing-machine/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\32 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""2\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\32 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/4-popular-laundry-myths-busted/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""3\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/personal-health-hygiene/how-to-wash-your-hands/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""4\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/common-infections/coronavirus/uk-cleaning-trends-are-changing/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""5\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":["".dt-carousel__container--right-mask > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/4-popular-laundry-myths-busted/\"">"",""target"":[""li[data-index=\""\\39 \""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""9\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\39 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/personal-health-hygiene/how-to-wash-your-hands/\"">"",""target"":[""li[data-index=\""\\31 0\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""10\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 0\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/common-infections/coronavirus/uk-cleaning-trends-are-changing/\"">"",""target"":[""li[data-index=\""\\31 1\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""11\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 1\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/personal-health-hygiene/teaching-children-about-hygiene-can-be-fun/\"">"",""target"":[""li[data-index=\""\\31 2\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""12\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 2\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/how-to-clean-your-kitchen-counters-and-bins-effectively/\"">"",""target"":[""li[data-index=\""\\31 3\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""13\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 3\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/how-to-clean-your-washing-machine/\"">"",""target"":[""li[data-index=\""\\31 4\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""14\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 4\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/areas-of-home/4-popular-laundry-myths-busted/\"">"",""target"":[""li[data-index=\""\\31 5\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""15\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 5\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/expert-advice/personal-health-hygiene/how-to-wash-your-hands/\"">"",""target"":[""li[data-index=\""\\31 6\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""16\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 6\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a href=\""/common-infections/coronavirus/uk-cleaning-trends-are-changing/\"">"",""target"":[""li[data-index=\""\\31 7\""] > .dt-card-box > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""17\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 308px;\"">"",""target"":[""li[data-index=\""\\31 7\""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a aria-label=\""Dettol Hand Hygiene Gel Aloe Vera\"" href=\""/personal-hygiene/hand-hygiene/dettol-hand-hygiene-gel-aloe-vera-50-ml/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""] > .dt-pop-product-item > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""3\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a aria-label=\""Dettol Tru Clean Multi Surface Wipes Crisp Pear 50s\"" href=\""/household-disinfection/multi-surface/dettol-tru-clean-multi-surface-wipes-crisp-pear-50s/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""] > .dt-pop-product-item > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""4\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-not-tabbable"",""data"":null,""relatedNodes"":[{""html"":""<a aria-label=\""Dettol Laundry Cleanser&nbsp;Fresh Cotton\"" href=\""/household-disinfection/laundry/dettol-laundry-cleanser-fresh-cotton-1500-ml/\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""] > .dt-pop-product-item > a""]}],""impact"":""serious"",""message"":""Focusable content should have tabindex='-1' or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""5\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should have tabindex='-1' or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-disabled"",""data"":null,""relatedNodes"":[{""html"":""<button type=\""button\"" class=\""dt-quiz-carousel-answer\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""] > .dt-quiz-carousel-answer""]}],""impact"":""serious"",""message"":""Focusable content should be disabled or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""3\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks-assistant > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\33 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should be disabled or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-disabled"",""data"":null,""relatedNodes"":[{""html"":""<button type=\""button\"" class=\""dt-quiz-carousel-answer\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""] > .dt-quiz-carousel-answer""]}],""impact"":""serious"",""message"":""Focusable content should be disabled or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""4\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks-assistant > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\34 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should be disabled or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-disabled"",""data"":null,""relatedNodes"":[{""html"":""<button type=\""button\"" class=\""dt-quiz-carousel-answer\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""] > .dt-quiz-carousel-answer""]}],""impact"":""serious"",""message"":""Focusable content should be disabled or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""5\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks-assistant > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\35 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should be disabled or be removed from the DOM""},{""any"":[],""all"":[{""id"":""focusable-disabled"",""data"":null,""relatedNodes"":[{""html"":""<button type=\""button\"" class=\""dt-quiz-carousel-answer\"">"",""target"":["".react-multi-carousel-item.dt-carousel__item[data-index=\""\\36 \""] > .dt-quiz-carousel-answer""]}],""impact"":""serious"",""message"":""Focusable content should be disabled or be removed from the DOM""}],""none"":[],""impact"":""serious"",""html"":""<li data-index=\""6\"" aria-hidden=\""true\"" class=\""react-multi-carousel-item  dt-carousel__item\"" style=\""flex: 1 1 auto; position: relative; width: 278px;\"">"",""target"":["".dt-carousel__container--both-masks-assistant > .react-multi-carousel-track > .react-multi-carousel-item.dt-carousel__item[data-index=\""\\36 \""]""],""failureSummary"":""Fix all of the following:\n  Focusable content should be disabled or be removed from the DOM""}]"
"duplicate-id","minor","[""cat.parsing"",""wcag2a"",""wcag411""]","Ensures every id attribute value is unique","id attribute value must be unique","https://dequeuniversity.com/rules/axe/4.3/duplicate-id?application=axeAPI","[{""any"":[{""id"":""duplicate-id"",""data"":""gatsby-global-css"",""relatedNodes"":[{""html"":""<style data-href=\""/commons.f8440488788972f07938.css\"" id=\""gatsby-global-css\"">"",""target"":[""style:nth-child(6)""]}],""impact"":""minor"",""message"":""Document has multiple static elements with the same id attribute: gatsby-global-css""}],""all"":[],""none"":[],""impact"":""minor"",""html"":""<style data-href=\""/component---gatsby-theme-dettol-src-templates-home-page-home-page-tsx.113580ff973a22cb9afd.css\"" id=\""gatsby-global-css\"">"",""target"":[""style:nth-child(5)""],""failureSummary"":""Fix any of the following:\n  Document has multiple static elements with the same id attribute: gatsby-global-css""}]"
"image-redundant-alt","minor","[""cat.text-alternatives"",""best-practice""]","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.3/image-redundant-alt?application=axeAPI","[{""any"":[],""all"":[],""none"":[{""id"":""duplicate-img-label"",""data"":null,""relatedNodes"":[],""impact"":""minor"",""message"":""Element contains <img> element with alt text that duplicates existing text""}],""impact"":""minor"",""html"":""<img class=\""lazyload\"" loading=\""lazy\"" aria-label=\""United Kingdom\"" alt=\""United Kingdom\"" src=\""https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.4.3/flags/4x3/gb.svg\"" style=\""display:inline-block;width:1em;height:1em;vertical-align:middle\"">"",""target"":["".lazyload""],""failureSummary"":""Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text""}]"
"landmark-unique","moderate","[""cat.semantics"",""best-practice""]","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Ensures landmarks are unique","https://dequeuniversity.com/rules/axe/4.3/landmark-unique?application=axeAPI","[{""any"":[{""id"":""landmark-is-unique"",""data"":{""role"":""region"",""accessibleText"":""top banner""},""relatedNodes"":[{""html"":""<section class=\""dt-media-info-box dt-container-wrapper\"" aria-label=\""Top banner\"">"",""target"":["".dt-media-info-box[aria-label=\""Top\\ banner\""]""]}],""impact"":""moderate"",""message"":""The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable""}],""all"":[],""none"":[],""impact"":""moderate"",""html"":""<section class=\""dt-intro dt-container-wrapper\"" aria-label=\""Top banner\"">"",""target"":["".dt-intro""],""failureSummary"":""Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable""},{""any"":[{""id"":""landmark-is-unique"",""data"":{""role"":""navigation"",""accessibleText"":null},""relatedNodes"":[{""html"":""<nav class=\""dt-footer__top-nav\"">"",""target"":["".dt-footer__top-col.col-lg-4.col-sm-6:nth-child(2) > .dt-footer__top-nav""]},{""html"":""<nav class=\""dt-footer__top-nav\"">"",""target"":["".dt-footer__top-col.col-lg-4.col-sm-6:nth-child(3) > .dt-footer__top-nav""]},{""html"":""<nav class=\""dt-footer__top-nav\""><ul><li><a href=\""/common-infections/germs-bacteria-viruses/\"">Germs: Bacteria &amp; Viruses</a></li><li><a href=\""/common-infections/coronavirus/\"">Coronavirus</a></li><li><a href=\""/common-infections/cold-flu/\"">Cold &amp; Flu</a></li></ul></nav>"",""target"":["".dt-footer__top-col.col-lg-4.col-sm-6:nth-child(4) > .dt-footer__top-nav""]},{""html"":""<nav class=\""dt-footer__top-nav\""><ul></ul></nav>"",""target"":["".dt-footer__top-col.col-lg-4.col-sm-6:nth-child(5) > .dt-footer__top-nav""]},{""html"":""<nav class=\""dt-footer__bottom-nav\"">"",""target"":["".dt-footer__bottom-nav""]}],""impact"":""moderate"",""message"":""The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable""}],""all"":[],""none"":[],""impact"":""moderate"",""html"":""<nav class=\""dt-footer__top-nav\""><ul><li><a href=\""/household-disinfection/\"">Household Disinfection</a></li><li><a href=\""/personal-hygiene/\"">Personal Hygiene</a></li></ul></nav>"",""target"":["".dt-footer__top-col.col-lg-4.col-sm-6:nth-child(1) > .dt-footer__top-nav""],""failureSummary"":""Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable""}]"
"region","moderate","[""cat.keyboard"",""best-practice""]","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.3/region?application=axeAPI","[{""any"":[{""id"":""region"",""data"":{""isIframe"":false},""relatedNodes"":[],""impact"":""moderate"",""message"":""Some page content is not contained by landmarks""}],""all"":[],""none"":[],""impact"":""moderate"",""html"":""<div class=\""container-fluid\"">"",""target"":["".dt-layout > .container-fluid""],""failureSummary"":""Fix any of the following:\n  Some page content is not contained by landmarks""}]"
